Sample,Area (µm2),Mean
Smooth,12.80485,8387
Smooth,15.133,6748.76923
Smooth,2.32815,5754.5
Smooth,1.16408,6037
Smooth,3.49223,6048.33333
Smooth,1.16408,5886
Smooth,2.32815,5956
Smooth,1.16408,5598
Smooth,1.16408,5929
Smooth,3.49223,7279.66667
Smooth,1.16408,5523
Smooth,2.32815,6270
Smooth,77.99318,10415.35821
Smooth,4.65631,6402.75
Smooth,3.49223,5682.33333
Smooth,6.98446,6499
Smooth,3.49223,6004.33333
Smooth,1.16408,7425
Smooth,2.32815,5651
Smooth,1.16408,6129
Smooth,1.16408,5759
Smooth,6.98446,6025.5
Smooth,1.16408,5449
Smooth,1.16408,5838
Smooth,12.80485,6059.81818
Smooth,11.64077,6564.7
Smooth,1.16408,5818
Smooth,1.16408,5673
Smooth,110.58734,15209.78947
Smooth,5.82039,6533
Smooth,5.82039,5776.6
Smooth,2.32815,6728.5
Smooth,1.16408,5761
Smooth,1.16408,6102
Smooth,1.16408,5743
Smooth,1.16408,5473
Smooth,1.16408,5511
Smooth,1.16408,5795
